data	"196,255,41"	"50,50,50"	"236,28,36"
data	Export	Supplied	Gap
Algeria	110	0	110
Australia	34	0	34
Belgium	0	0	0
Brazil	0	20	20
Canada	0	1	1
China	10196	10997	801
China_Hong_Kong_SAR	428	493	65
Costa_Rica	0	20	20
Denmark	0	0	0
Dominican_Republic	1	0	1
France	0	0	0
Germany	21	0	21
Guadeloupe	2	0	2
India	84	84	0
Italy	0	0	0
Japan	216	57	159
Jordan	27	0	27
Korea_Republic	1296	1450	155
Lithuania	0	0	0
Malaysia	7827	16671	8843
Martinique	10	0	10
Mauritius	0	93	93
Namibia	26	0	26
New_Zealand	34	0	34
Peru	81	0	81
Philippines	0	0	0
Portugal	0	0	0
Russia	163	74	90
Saudi_Arabia	0	0	0
Singapore	378	7	371
South_Africa	81	0	81
Sri_Lanka	130	259	129
Taiwan_Province_of_China	3060	4138	1078
Thailand	2927	2808	120
Tunisia	20	0	20
United_Arab_Emirates	0	0	0
United_Kingdom	2	0	2
United_States	108	0	108
Uruguay	0	29	29
Vietnam	606	0	606
